Estado,id,Município,Projetos,C. Média,C.Mediana,PIB,EXP,PROJ*PIB,PROJ*EXP
São Paulo,3522307,Itapetininga,2,"1,0","1,0",4.905.433,"75.306.015,00",,
São Paulo,3524006,Itupeva,2,"1,0","1,0",7.374.829,"259.903.156,00",,
São Paulo,3525003,Jandira,2,"1,0","1,0",4.159.068,"27.920.508,00",,
São Paulo,3525201,Jarinu,2,"1,0","1,0",2.524.225,"17.676.175,00",,
São Paulo,3529401,Mauá,2,"1,0","1,0",16.284.223,"161.019.461,00",,
São Paulo,3534302,Orlândia,2,"1,0","1,0",1.903.712,"63.189.644,00",,
São Paulo,3536307,Patrocínio Paulista,2,"1,0","1,0",991.953,"35.745.325,00",,
São Paulo,3542602,Registro,2,"1,0","1,0",2.096.319,"101.813,00",,
São Paulo,3549409,São Joaquim da Barra,2,"1,0","1,0",1.642.035,"44.503.903,00",,
São Paulo,3552106,Socorro,2,"1,0","1,0",894.752,"11.107.124,00",,
São Paulo,3553658,Taquaral,2,"1,0","1,0",38.571,"0,00",,
São Paulo,3551108,Sarapuí,1,"5,0","5,0",162.276,"336.340,00",,
São Paulo,3511508,Cerquilho,1,"4,0","4,0",1.935.492,"62.824.446,00",,
São Paulo,3533403,Nova Odessa,1,"4,0","4,0",3.893.235,"101.239.178,00",,
São Paulo,3540002,Pompéia,1,"4,0","4,0",1.308.471,"93.910.740,00",,
São Paulo,3551603,Serra Negra,1,"4,0","4,0",742.511,"48.772,00",,
São Paulo,3556404,Vargem Grande do Sul,1,"4,0","4,0",1.032.998,"278.815,00",,
São Paulo,3504503,Avaré,1,"2,0","2,0",2.746.956,"43.009.428,00",,
São Paulo,3507803,Brodowski,1,"2,0","2,0",709.509,"777.830,00",,
São Paulo,3515186,Espírito Santo do Pinhal,1,"2,0","2,0",1.533.274,"49.934.114,00",,
São Paulo,3557303,Estiva Gerbi,1,"2,0","2,0",319.971,"2.595.026,00",,
São Paulo,3537503,Pereiras,1,"2,0","2,0",241.771,"0,00",,
São Paulo,3553955,Tarumã,1,"2,0","2,0",741.563,"37.063.994,00",,
São Paulo,3555406,Ubatuba,1,"2,0","2,0",2.384.242,"23.551,00",,
São Paulo,3501400,Álvaro de Carvalho,1,"1,0","1,0",50.648,"0,00",,
São Paulo,3501806,Américo de Campos,1,"1,0","1,0",102.165,"0,00",,
São Paulo,3502200,Angatuba,1,"1,0","1,0",1.062.935,"9.179.014,00",,
São Paulo,3505906,Batatais,1,"1,0","1,0",1.906.258,"57.271.913,00",,
São Paulo,3507001,Boituva,1,"1,0","1,0",2.854.010,"83.643.275,00",,
São Paulo,3509007,Caieiras,1,"1,0","1,0",3.912.607,"457.878.605,00",,
São Paulo,3509254,Cajati,1,"1,0","1,0",1.389.533,"24.315.462,00",,
São Paulo,3509403,Cajuru,1,"1,0","1,0",615.946,"7.303.414,00",,
São Paulo,3513702,Descalvado,1,"1,0","1,0",1.629.218,"23.162.867,00",,
São Paulo,3514601,Dumont,1,"1,0","1,0",256.472,"11.234.706,00",,
São Paulo,3516309,Francisco Morato,1,"1,0","1,0",1.589.033,"8.550,00",,
São Paulo,3520426,Ilha Comprida,1,"1,0","1,0",1.045.503,"0,00",,
São Paulo,3520442,Ilha Solteira,1,"1,0","1,0",654.951,"0,00",,
São Paulo,3520400,Ilhabela,1,"1,0","1,0",14.965.490,"2.975.001.005,00",,
São Paulo,3521002,Iperó,1,"1,0","1,0",684.198,"10.962.646,00",,
São Paulo,3521101,Ipeúna,1,"1,0","1,0",687.092,"8.839.537,00",,
São Paulo,3522208,Itapecerica da Serra,1,"1,0","1,0",3.881.276,"28.540.795,00",,
São Paulo,3522406,Itapeva,1,"1,0","1,0",2.969.803,"50.866.289,00",,
São Paulo,3523206,Itararé,1,"1,0","1,0",947.263,"1.497.905,00",,
São Paulo,3523701,Itirapuã,1,"1,0","1,0",103.757,"0,00",,
São Paulo,3526209,Juquitiba,1,"1,0","1,0",547.626,"147.540,00",,
São Paulo,3526704,Leme,1,"1,0","1,0",3.377.382,"313.913.314,00",,
São Paulo,3526803,Lençóis Paulista,1,"1,0","1,0",3.077.313,"180.264.242,00",,
São Paulo,3529302,Matão,1,"1,0","1,0",3.961.591,"979.667.299,00",,
São Paulo,3530300,Mirassol,1,"1,0","1,0",1.939.816,"5.731.537,00",,
São Paulo,3531308,Monte Alto,1,"1,0","1,0",2.010.940,"9.762.411,00",,
São Paulo,3531803,Monte Mor,1,"1,0","1,0",3.501.214,"101.998.562,00",,
São Paulo,3535002,Palestina,1,"1,0","1,0",363.497,"0,00",,
São Paulo,3537107,Pedreira,1,"1,0","1,0",1.317.533,"24.828.894,00",,
São Paulo,3540606,Porto Feliz,1,"1,0","1,0",2.997.482,"67.760.141,00",,
São Paulo,3541000,Praia Grande,1,"1,0","1,0",7.619.853,"184.834,00",,
São Paulo,3542206,Rancharia,1,"1,0","1,0",1.077.779,"28.955.808,00",,
São Paulo,3545209,Salto,1,"1,0","1,0",7.796.008,"132.681.463,00",,
São Paulo,3547007,Santa Maria da Serra,1,"1,0","1,0",129.880,"11.053.579,00",,
São Paulo,3549102,São João da Boa Vista,1,"1,0","1,0",3.255.312,"73.401.400,00",,
São Paulo,3549953,São Lourenço da Serra,1,"1,0","1,0",232.510,"7.404,00",,
São Paulo,3550100,São Manuel,1,"1,0","1,0",1.125.374,"2.673.521,00",,
São Paulo,3554102,Taubaté,1,"1,0","1,0",17.515.712,"694.688.355,00",,
São Paulo,3555000,Tupã,1,"1,0","1,0",1.930.888,"80.542.600,00",,
São Paulo,3556909,Vista Alegre do Alto,1,"1,0","1,0",331.365,"52.195.838,00",,
